source,product_title,average_rating,review_title,content,rating,likes
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Must buy!,Best sound and best quality light weight very comfortable and sweat proof aroma I like it,5.0,1856
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Wonderful,BEST PRICE super  good quality very happy 😊😊😊😊 THANK YOU FLIPKART for best results,5.0,1095
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Decent product,The neckband is good for value for money but the sound quality is not that much good the volume is so high clear sound is not coming like oneplus neckband but with the price i am satisfied with this neckband😊,3.0,205
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Wonderful,"I got this product at the price of 230 and am saying this is really worthy for its price tag. Sound quality is good but bass is little bit extra. Battery backup is good I listen music for a day with only single charge, so battery backup is good. You can go with it if its costing you around 300 - 400 and if its reaching the price of 500+ you can buy Croma or Oneplus. Overall a good product from Aroma for its price range.",5.0,22
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Super!,Nice products,5.0,652
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Simply awesome,It has a very good range of sound and the battery goes a long way. I am definitely enjoying listening to music in this especially during workout as it's loud enough to block outside noise.,5.0,86
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Delightful,Very nice,4.0,427
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Value-for-money,Very nice 👌,4.0,847
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Just wow!,Good price nice sound light in weight simply amazing 🤩 😍,5.0,504
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Excellent,Good product must buy I am happy truly 2 day battery life,5.0,111
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Wonderful,I loved the design,5.0,158
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Excellent,Good product must buy I am happy truly 2 day battery life,5.0,115
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Fabulous!,Awosome,5.0,117
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Classy product,Good,5.0,205
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Brilliant,Mind blowing and just awesome superb sound and Battery quality everyone should buy without any doubts,5.0,48
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Terrific,Nice product👍👍 sound quality awesome,5.0,53
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Perfect product!,Awesome sound quality and battery back-up ♥️♥️♥️♥️🥰🥰💞,5.0,47
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Perfect product!,Super,5.0,97
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Brilliant,Super product. Really love it,5.0,78
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Must buy!,This product is very nice,5.0,50
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Useless product,"Bad product don't buy 1 time I have got without mic,mic doesn't work I thought next will batter thay I will replacement and I shock next will earphone it's not work I will no recomend to customer to buy this product",1.0,28
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Best in the market!,Very nice product at this price point ..loving it,5.0,17
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Very poor,"Pls don't buy this product.Less than a month after I bought it, the left headphone still does not work😔 ❌️❌️❌️❌️❌️❌️❌️❌️❌️❗️❌️❌️❌️❌️❌️❌️❌️❌️❌️❌️",1.0,25
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Awesome,Very nice,5.0,20
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Delightful,good,4.0,83
flipkart,Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckband Bluetooth Headset,3.8,Just wow!,very good,5.0,38
